Tx,Px,Hx,D,Ty,Py,Hy
30.0,1200.0,65,3.901281840626232,20.011497227410793,1013.2507977414201,31.39186163468849
30.0,1200.0,65,4.001249804748512,20.008549136576935,1013.2504502475986,31.223532293029567
30.0,1200.0,65,4.101219330881976,20.006315667182513,1013.2502507411782,31.072898352150602
30.0,1200.0,65,4.201190307520001,20.004635298921695,1013.2501377768873,30.938473591354594
30.0,1200.0,65,4.301162633521313,20.00337980591499,1013.2500746956736,30.818846602207906
30.0,1200.0,65,4.401136216933078,20.002448248709275,1013.2500399553794,30.712683749998206
30.0,1200.0,65,4.50111097397076,20.001761828281314,1013.2500210866975,30.618730993848974
30.0,1200.0,65,4.601086828130937,20.001259536190382,1013.2500109796507,30.53581466893198
30.0,1200.0,65,4.701063709417264,20.0008945234882,1013.2500056403835,30.462841338793233
30.0,1200.0,65,4.801041553663122,20.0006311056758,1013.2500028586614,30.39879682790051
30.0,1200.0,65,4.901020301937139,20.00044232051904,1013.2500014293709,30.342744544371403
30.0,1200.0,65,5.000999900019995,20.00030795862527,1013.2500007050984,30.29382320071418
30.0,1200.0,65,0.2,28.676323347781928,1165.2016989194485,62.06178752986637
30.0,1200.0,65,0.223606797749979,28.521789268968156,1161.1835254178839,61.716496551422495
30.0,1200.0,65,0.28284271247461906,28.13663715766792,1151.2363405578888,60.85241082668547
30.0,1200.0,65,0.36055512754639896,27.63824315315463,1138.5398726323338,59.72501769044277
30.0,1200.0,65,0.447213595499958,27.093881150142263,1124.9566512886488,58.47823005183771
30.0,1200.0,65,0.5385164807134505,26.536021028539604,1111.416663699718,57.179108119584086
30.0,1200.0,65,0.632455532033676,25.98161452683528,1098.4185588917353,55.860893812723454
30.0,1200.0,65,0.7280109889280519,25.440660693068992,1086.2523459218548,54.54214568024265
30.0,1200.0,65,0.8246211251235323,24.919666149438406,1075.0899205184803,53.23450496100118
30.0,1200.0,65,0.9219544457292888,24.42311723876343,1065.0251161530866,51.94601827062179
30.0,1200.0,65,1.019803902718557,23.954159460225686,1056.0944622545944,50.68267031896612
30.0,1200.0,65,1.118033988749895,23.51494176046283,1048.2903376265447,49.44914265989782
30.0,1200.0,65,1.216552506059644,23.106811758085627,1041.5709982693677,48.24921305752575
30.0,1200.0,65,1.3152946437965907,22.730442607790764,1035.8691620784873,47.08597731783494
30.0,1200.0,65,1.4142135623730951,22.385928293164355,1031.0996965738964,45.96197890875896
30.0,1200.0,65,1.5132745950421556,22.07286451617174,1027.1664959405653,44.87928884827831
30.0,1200.0,65,1.61245154965971,21.790423037644544,1023.9684716948868,43.8395581107899
30.0,1200.0,65,1.711724276862369,21.53742269514139,1021.4045570388723,42.84405470719511
30.0,1200.0,65,1.8110770276274835,21.312397974019827,1019.3776628763763,41.89369230172448
30.0,1200.0,65,1.91049731745428,21.11366483659145,1017.7975841333581,40.98905432839865
30.0,1200.0,65,2.009975124224178,20.93938298990103,1016.5829165973128,40.13041591657446
30.0,1200.0,65,2.1095023109728985,20.787613618223094,1015.6620950526585,39.317764958547855
30.0,1200.0,65,2.209072203437452,20.65637166713664,1014.9736974994181,38.550823057716535
30.0,1200.0,65,2.3086792761230392,20.543671948760323,1014.4661764989423,37.82906672494445
30.0,1200.0,65,2.4083189157584592,20.44756858217881,1014.097178866716,37.151748955563434
30.0,1200.0,65,2.5079872407968904,20.366187548417685,1013.8326023975668,36.51792116948754
30.0,1200.0,65,2.6076809620810595,20.297752397279364,1013.6455171571776,35.92645540242219
30.0,1200.0,65,2.7073972741361767,20.24060337474006,1013.515053175662,35.37606657896257
30.0,1200.0,65,2.8071337695236402,20.193210432248428,1013.4253296637377,34.86533466705034
30.0,1200.0,65,2.906888370749727,20.15418072662836,1013.3644758393557,34.39272650031142
30.0,1200.0,65,3.0066592756745814,20.12226131940533,1013.3237718788197,33.95661705514029
30.0,1200.0,65,3.1064449134018135,20.096337838874092,1013.2969213002501,33.55530997941254
30.0,1200.0,65,3.2062439083762797,20.075429881411875,1013.2794534416862,33.187057186715656
30.0,1200.0,65,3.306055050963308,20.058683906540466,1013.2682462849359,32.85007735192151
30.0,1200.0,65,3.4058772731852804,20.04536433021237,1013.2611550544405,32.542573169131195
30.0,1200.0,65,3.5057096285916205,20.034843450248538,1013.2567299995612,32.26274726015657
30.0,1200.0,65,3.605551275463989,20.026590754081333,1013.2540067522908,32.00881664964412
30.0,1200.0,65,3.705401462729781,20.020162068603405,1013.2523539258905,31.77902575076625
30.0,1200.0,65,3.8052595180880897,20.015188920698165,1013.2513645997302,31.571657832332402
30.0,1200.0,65,3.9051248379533274,20.011368389527053,1013.2507805845603,31.385044963581624
30.0,1200.0,65,4.004996878900157,20.00845365130698,1013.2504405826134,31.21757645631429
30.0,1200.0,65,4.104875150354759,20.00624534643243,1013.2502453683499,31.067705845028115
30.0,1200.0,65,4.2047592083257275,20.004583838663923,1013.2501348295478,30.933956464080623
30.0,1200.0,65,4.304648650006176,20.003342387127468,1013.2500731002694,30.814925696445375
30.0,1200.0,65,4.404543109109048,20.002421213762123,1013.2500391032346,30.709287981295297
